uniqueid,zettaicode,locationna,wancode,prefectuei,watercode,renban,nendo,survey_ym,surveyyear,surveymont,surveyday,saisuipoin,saisuidept,latitude,longitude,dataflag,scale,wtemp,depth,region,year_folder,is_near_anoxic,Season,do_2,salt2,ph2,toc2,tn2,tp2,cod2,nh4n2,no2n2,no3n2,po4p2,chloroph_1,feiochin2,doc2
0000025072,00002331,愛知県31,02,23,200,31,1997,1997-12-01,1998,1,21,2,14.0,34.67,136.9847222,1,-1,11.3,16.0,Ise,1997,False,Winter,8.7,32.69,8.2,0.0,0.253,0.023,1.0,0.07,0.009,0.088,0.013,0.8,2.4,0.0
0000026549,00002331,愛知県31,02,23,200,31,1998,1998-03-01,1998,5,19,2,14.0,34.67,136.9847222,1,-1,18.3,16.0,Ise,1998,False,Other,6.9,32.44,8.1,0.0,0.258,0.024,0.9,0.058,0.01,0.07,0.01,1.3,9.7,0.0
0000026550,00002331,愛知県31,02,23,200,31,1998,1998-06-01,1998,7,22,2,14.0,34.67,136.9847222,1,-1,24.3,16.0,Ise,1998,False,Summer,6.6,31.14,8.2,0.0,0.258,0.019,1.3,0.015,0.004,0.025,0.003,1.6,2.5,0.0
0000026551,00002331,愛知県31,02,23,200,31,1998,1998-09-01,1998,10,27,2,14.0,34.67,136.9847222,1,-1,21.5,16.0,Ise,1998,False,Other,7.4,29.8,8.2,0.0,0.257,0.025,0.5,0.019,0.018,0.091,0.012,4.3,6.9,0.0
0000026552,00002331,愛知県31,02,23,200,31,1998,1998-12-01,1999,1,19,2,15.0,34.67,136.9847222,1,-1,10.7,17.0,Ise,1998,False,Winter,9.4,33.52,8.2,0.0,0.296,0.027,1.3,0.03,0.002,0.089,0.013,2.5,3.7,0.0
0000028029,00002331,愛知県31,02,23,200,31,1999,1999-03-01,1999,5,25,2,13.0,34.67,136.9847222,1,-1,18.8,15.0,Ise,1999,False,Other,6.5,33.34,8.2,0.0,0.269,0.031,1.3,0.079,0.005,0.035,0.018,0.8,0.0,0.0
0000028030,00002331,愛知県31,02,23,200,31,1999,1999-06-01,1999,7,13,2,15.0,34.67,136.9847222,1,-1,21.0,17.0,Ise,1999,False,Summer,6.3,33.22,8.2,0.0,0.317,0.027,1.3,0.024,0.013,0.046,0.013,2.3,1.4,0.0
0000028031,00002331,愛知県31,02,23,200,31,1999,1999-09-01,1999,10,19,2,14.0,34.67,136.9847222,1,-1,22.3,16.0,Ise,1999,False,Other,7.0,32.46,8.3,0.0,0.244,0.033,0.8,0.031,0.013,0.019,0.014,6.5,2.1,0.0
0000028032,00002331,愛知県31,02,23,200,31,1999,1999-12-01,2000,1,18,2,14.0,34.67,136.9847222,1,-1,11.7,16.0,Ise,1999,False,Winter,8.6,33.39,8.2,0.0,0.21,0.02,1.0,0.042,0.004,0.04,0.006,1.2,0.7,0.0
0000029509,00002331,愛知県31,02,23,200,31,2000,2000-03-01,2000,5,23,2,15.5,34.67,136.9847222,1,-1,17.7,17.5,Ise,2000,False,Other,7.4,33.0,8.2,0.0,0.249,0.019,1.5,0.024,0.003,0.01,0.008,1.8,2.2,0.0
0000029510,00002331,愛知県31,02,23,200,31,2000,2000-06-01,2000,7,11,2,15.0,34.67,136.9847222,1,-1,23.0,17.0,Ise,2000,False,Summer,5.5,32.6,8.1,0.0,0.31,0.034,1.3,0.046,0.016,0.033,0.021,5.3,2.2,0.0
0000029511,00002331,愛知県31,02,23,200,31,2000,2000-09-01,2000,10,17,2,15.0,34.67,136.9847222,1,-1,22.5,17.0,Ise,2000,False,Other,6.8,32.44,8.2,0.0,0.363,0.026,1.5,0.007,0.009,0.01,0.007,5.1,2.2,0.0
0000029512,00002331,愛知県31,02,23,200,31,2000,2000-12-01,2001,1,23,2,15.0,34.67,136.9847222,1,-1,9.1,17.0,Ise,2000,False,Winter,9.2,33.04,8.2,0.0,0.377,0.023,2.2,0.015,0.007,0.054,0.009,7.7,1.5,0.0
0000030989,00002331,愛知県31,02,23,200,31,2001,2001-03-01,2001,5,15,2,16.0,34.67,136.9847222,1,-1,16.9,18.0,Ise,2001,False,Other,7.1,33.22,8.2,0.0,0.407,0.021,1.8,0.003,0.006,0.024,0.004,1.8,2.4,0.0
0000030990,00002331,愛知県31,02,23,200,31,2001,2001-06-01,2001,7,10,2,17.0,34.67,136.9847222,1,-1,19.4,19.0,Ise,2001,False,Summer,6.8,33.22,8.1,0.0,0.417,0.039,2.8,0.08,0.011,0.047,0.019,2.3,2.3,0.0
0000030991,00002331,愛知県31,02,23,200,31,2001,2001-09-01,2001,10,23,2,,34.67,136.9847222,1,-1,21.7,16.0,Ise,2001,False,Other,8.1,33.22,8.2,0.0,0.373,0.041,2.0,0.071,0.021,0.049,0.024,1.9,2.3,0.0
0000030992,00002331,愛知県31,02,23,200,31,2001,2001-12-01,2002,1,16,2,15.0,34.67,136.9847222,1,-1,11.0,17.0,Ise,2001,False,Winter,8.9,33.4,8.2,0.0,0.377,0.028,1.8,0.022,0.005,0.081,0.017,3.4,1.6,0.0
0000032469,00002331,愛知県31,02,23,200,31,2002,2002-03-01,2002,5,21,2,17.0,34.67,136.9847222,1,-1,18.1,18.0,Ise,2002,False,Other,7.2,33.1,8.2,0.0,0.433,0.039,2.1,0.014,0.012,0.034,0.008,5.9,0.1,0.0
0000032470,00002331,愛知県31,02,23,200,31,2002,2002-06-01,2002,7,9,2,18.0,34.67,136.9847222,1,-1,21.2,19.0,Ise,2002,False,Summer,6.8,33.22,8.0,0.0,0.146,0.0233,1.2,0.0127,0.0097,0.0283,0.009,11.7,0.1,0.0
0000032471,00002331,愛知県31,02,23,200,31,2002,2002-09-01,2002,10,22,2,18.0,34.67,136.9847222,1,-1,22.6,19.0,Ise,2002,False,Other,7.1,33.04,8.2,0.0,0.06,0.1065,1.2,0.025,0.01,0.0104,0.0102,0.5,4.1,0.0
0000032472,00002331,愛知県31,02,23,200,31,2002,2002-12-01,2003,1,21,2,17.0,34.67,136.9847222,1,-1,10.0,18.0,Ise,2002,False,Winter,9.5,33.3,8.1,0.0,0.19,0.016,1.5,0.01,0.01,0.03,0.007,7.8,0.1,0.0
0000033950,00002331,愛知県31,02,23,200,31,2003,2003-03-01,2003,5,27,2,15.0,34.67,136.9847222,1,-1,18.8,,Ise,2003,False,Other,6.9,33.3,8.2,0.0,0.19,0.025,0.9,0.04,0.0,0.01,0.005,20.3,3.6,0.0
0000033951,00002331,愛知県31,02,23,200,31,2003,2003-06-01,2003,7,8,2,15.0,34.67,136.9847222,1,-1,19.8,,Ise,2003,False,Summer,6.2,33.3,7.8,0.0,0.15,0.022,0.8,0.03,0.01,0.05,0.02,1.1,0.8,0.0
0000033949,00002331,愛知県31,02,23,200,31,2003,2003-09-01,2003,10,21,2,17.0,34.67,136.9847222,1,-1,21.4,,Ise,2003,False,Other,6.8,32.9,8.2,0.0,0.26,0.036,0.8,0.02,0.01,0.03,0.016,4.8,4.8,0.0
0000033952,00002331,愛知県31,02,23,200,31,2003,2003-12-01,2004,1,20,2,19.0,34.67,136.9847222,1,-1,10.4,,Ise,2003,False,Winter,9.0,32.8,8.2,0.0,0.44,0.024,1.5,0.0,0.0,0.04,0.0,2.1,1.6,0.0
0000035429,00002331,愛知県31,02,23,200,31,2004,2004-03-01,2004,5,25,2,17.0,34.67,136.9847222,1,-1,18.0,,Ise,2004,False,Other,7.7,32.7,8.3,0.0,0.265,0.02,1.9,0.032,0.0,0.029,0.008,4.6,6.5,0.0
0000035430,00002331,愛知県31,02,23,200,31,2004,2004-06-01,2004,7,13,2,17.0,34.67,136.9847222,1,-1,20.5,,Ise,2004,False,Summer,6.3,33.73,7.9,0.0,0.302,0.027,1.0,0.059,0.021,0.067,0.023,4.6,0.0,0.0
0000035431,00002331,愛知県31,02,23,200,31,2004,2004-09-01,2004,10,19,2,17.0,34.67,136.9847222,1,-1,23.8,,Ise,2004,False,Other,6.5,32.29,8.2,0.0,0.308,0.023,2.5,0.027,0.0,0.018,0.009,1.9,13.4,0.0
0000035432,00002331,愛知県31,02,23,200,31,2004,2004-12-01,2005,1,18,2,18.0,34.67,136.9847222,1,-1,11.8,,Ise,2004,False,Winter,9.0,32.95,8.3,0.0,0.322,0.015,1.1,0.011,0.0,0.031,0.003,2.1,3.5,0.0
0000036909,00002331,愛知県31,02,23,200,31,2005,2005-03-01,2005,5,24,2,17.0,34.67,136.9847222,1,-1,17.4,18.0,Ise,2005,False,Other,7.4,33.69,8.1,0.0,0.191,0.019,1.0,0.039,0.0,0.04,0.01,1.4,2.1,0.0
0000036910,00002331,愛知県31,02,23,200,31,2005,2005-06-01,2005,7,12,2,15.0,34.67,136.9847222,1,-1,20.6,16.0,Ise,2005,False,Summer,6.4,33.7,8.0,0.0,0.245,0.023,1.4,0.02,0.0,0.042,0.01,4.6,0.0,0.0
0000036911,00002331,愛知県31,02,23,200,31,2005,2005-09-01,2005,10,12,2,14.0,34.67,136.9847222,1,-1,22.7,15.0,Ise,2005,False,Other,7.1,31.97,8.2,0.0,0.231,0.032,1.8,0.016,0.014,0.019,0.016,3.0,0.7,0.0
0000036912,00002331,愛知県31,02,23,200,31,2005,2005-12-01,2006,1,17,2,15.0,34.67,136.9847222,1,-1,9.2,16.0,Ise,2005,False,Winter,10.0,33.43,8.3,0.0,0.187,0.025,1.6,0.011,0.0,0.067,0.014,1.6,2.3,0.0
0000038389,00002331,愛知県31,02,23,200,31,2006,2006-03-01,2006,5,23,2,16.6,34.67,136.9847222,1,-1,16.6,17.6,Ise,2006,False,Other,7.0,32.43,8.1,0.0,0.493,0.026,1.1,0.058,0.023,0.07,0.01,3.3,1.7,0.0
0000038390,00002331,愛知県31,02,23,200,31,2006,2006-06-01,2006,7,19,2,17.0,34.67,136.9847222,1,-1,19.0,18.0,Ise,2006,False,Summer,4.5,33.24,8.0,0.0,0.238,0.04,1.3,0.076,0.013,0.076,0.03,3.1,1.5,0.0
0000038391,00002331,愛知県31,02,23,200,31,2006,2006-09-01,2006,10,17,2,17.0,34.67,136.9847222,1,-1,22.2,18.0,Ise,2006,False,Other,6.9,33.45,8.2,0.0,0.284,0.025,0.9,0.036,0.012,0.024,0.016,0.0,10.3,0.0
0000038392,00002331,愛知県31,02,23,200,31,2006,2006-12-01,2007,1,23,2,18.0,34.67,136.9847222,1,-1,11.1,19.0,Ise,2006,False,Winter,9.4,33.11,8.3,0.0,0.278,0.02,1.2,0.018,0.0,0.039,0.009,5.7,4.7,0.0
0000039869,00002331,愛知県31,02,23,200,31,2007,2007-03-01,2007,5,22,2,19.0,34.67,136.9847222,1,-1,17.0,20.0,Ise,2007,False,Other,8.1,33.65,8.4,0.0,0.265,0.017,1.0,0.023,0.0,0.02,0.008,2.0,2.9,0.0
0000039870,00002331,愛知県31,02,23,200,31,2007,2007-06-01,2007,7,18,2,18.0,34.67,136.9847222,1,-1,20.9,19.0,Ise,2007,False,Summer,6.2,32.89,8.1,0.0,0.183,0.028,1.3,0.01,0.013,0.048,0.015,6.6,4.2,0.0
0000039871,00002331,愛知県31,02,23,200,31,2007,2007-09-01,2007,10,16,2,16.0,34.67,136.9847222,1,-1,23.2,17.0,Ise,2007,False,Other,6.6,32.76,8.3,0.0,0.161,0.022,1.4,0.016,0.006,0.006,0.011,1.4,3.8,0.0
0000039872,00002331,愛知県31,02,23,200,31,2007,2007-12-01,2008,1,22,2,18.0,34.67,136.9847222,1,-1,11.0,19.0,Ise,2007,False,Winter,8.8,33.76,8.2,0.0,0.248,0.026,0.6,0.016,0.0,0.089,0.019,0.6,1.9,0.0
0000041325,00002331,愛知県31,02,23,200,31,2008,2008-03-01,2008,5,22,2,18.0,34.67,136.9847222,1,-1,18.3,19.0,Ise,2008,False,Other,8.7,32.93,8.1,0.0,0.24,0.026,1.5,0.016,0.014,0.031,0.009,2.6,5.5,0.0
0000041326,00002331,愛知県31,02,23,200,31,2008,2008-06-01,2008,7,15,2,17.0,34.67,136.9847222,1,-1,20.5,18.0,Ise,2008,False,Summer,6.1,33.44,8.1,0.0,0.211,0.021,0.8,0.021,0.015,0.048,0.015,0.9,4.2,0.0
0000041327,00002331,愛知県31,02,23,200,31,2008,2008-09-01,2008,10,15,2,18.0,34.67,136.9847222,1,-1,22.5,19.0,Ise,2008,False,Other,6.9,32.53,8.2,0.0,0.264,0.038,1.3,0.024,0.01,0.0,0.013,0.0,4.5,0.0
0000041328,00002331,愛知県31,02,23,200,31,2008,2008-12-01,2009,1,20,2,17.0,34.67,136.9847222,1,-1,11.7,18.0,Ise,2008,False,Winter,9.3,33.77,8.3,0.0,0.276,0.032,0.9,0.0,0.0,0.05,0.011,5.5,1.7,0.0
0000042761,00002331,愛知県31,02,23,200,31,2009,2009-03-01,2009,5,19,2,15.0,34.67,136.9847222,1,-1,17.7,16.0,Ise,2009,False,Other,6.8,33.78,8.3,0.0,0.586,0.021,1.3,0.039,0.009,0.044,0.013,0.9,2.1,0.0
0000042762,00002331,愛知県31,02,23,200,31,2009,2009-06-01,2009,7,14,2,15.0,34.67,136.9847222,1,-1,18.8,16.0,Ise,2009,False,Summer,5.9,33.66,8.2,0.0,0.24,0.038,0.8,0.02,0.011,0.09,0.02,1.2,2.1,0.0
0000042763,00002331,愛知県31,02,23,200,31,2009,2009-09-01,2009,10,14,2,16.0,34.67,136.9847222,1,-1,21.8,17.0,Ise,2009,False,Other,6.6,32.92,8.3,0.0,0.34,0.021,1.3,0.04,0.015,0.03,0.023,0.6,3.3,0.0
0000042764,00002331,愛知県31,02,23,200,31,2009,2009-12-01,2010,1,19,2,18.0,34.67,136.9847222,1,-1,10.1,19.0,Ise,2009,False,Winter,9.2,33.3,8.1,0.0,0.477,0.0465,0.8,0.01,0.0061,0.0867,0.016,1.7,8.7,0.0
0000044142,00002331,愛知県31,02,23,200,31,2010,2010-03-01,2010,5,18,2,18.0,34.67,136.9847222,1,-1,16.3,19.0,Ise,2010,False,Other,7.5,32.97,8.3,0.0,0.24,0.014,1.0,0.0,0.00355,0.04464,0.009,2.67621229,3.43193944,0.0
0000044182,00002331,愛知県31,02,23,200,31,2010,2010-06-01,2010,7,13,2,18.0,34.67,136.9847222,1,-1,20.3,19.0,Ise,2010,False,Summer,6.8,33.49,8.3,0.0,0.15,0.019,1.3,0.01,0.00555,0.024,0.008,2.5,1.8,0.0
0000044222,00002331,愛知県31,02,23,200,31,2010,2010-09-01,2010,10,13,2,19.6,34.67,136.9847222,1,-1,22.9,20.6,Ise,2010,False,Other,6.6,32.93,8.3,0.0,0.22,0.027,1.0,0.02,0.011,0.02,0.017,1.09469263,3.44445184,0.0
0000044262,00002331,愛知県31,02,23,200,31,2010,2010-12-01,2011,1,19,2,18.0,34.67,136.9847222,1,-1,9.3,19.0,Ise,2010,False,Winter,9.4,33.07,8.3,0.0,0.22,0.016,1.3,0.01,0.002,0.05,0.009,3.38087056,4.01622387,0.0
0000045574,00002331,愛知県31,02,23,200,31,2011,2011-03-01,2011,5,17,2,17.0,34.67,136.9847222,1,-1,16.3,18.0,Ise,2011,False,Other,7.8,32.75,8.2,0.0,0.25,0.017,1.2,0.01,0.004,0.03,0.008,4.5,0.7,0.0
0000045614,00002331,愛知県31,02,23,200,31,2011,2011-06-01,2011,7,12,2,16.0,34.67,136.9847222,1,-1,20.8,17.0,Ise,2011,False,Summer,6.4,33.67,8.1,0.0,0.21,0.02,1.3,0.0,0.005,0.02,0.006,2.0,0.5,0.0
0000045654,00002331,愛知県31,02,23,200,31,2011,2011-09-01,2011,10,12,2,18.0,34.67,136.9847222,1,-1,21.9,19.0,Ise,2011,False,Other,7.0,32.89,8.2,0.0,0.22,0.019,1.3,0.02,0.009,0.02,0.01,1.5,0.6,0.0
0000045694,00002331,愛知県31,02,23,200,31,2011,2011-12-01,2012,1,17,2,18.0,34.67,136.9847222,1,-1,10.3,19.0,Ise,2011,False,Winter,9.1,33.4,8.3,0.0,0.22,0.017,1.1,0.0,0.004,0.05,0.012,2.5,0.0,0.0
0000046986,00002331,愛知県31,02,23,200,31,2012,2012-03-01,2012,5,15,2,17.8,34.67,136.9847222,1,-1,17.4,18.8,Ise,2012,False,Other,7.9,31.84,8.2,0.0,0.28,0.018,1.4,0.01,0.002,0.01,0.003,3.6,0.6,0.0
0000047026,00002331,愛知県31,02,23,200,31,2012,2012-06-01,2012,7,18,2,18.0,34.67,136.9847222,1,-1,21.4,19.0,Ise,2012,False,Summer,6.7,32.5,8.2,0.0,0.22,0.017,1.2,0.01,0.005,0.01,0.004,3.5,1.4,0.0
0000047050,00002331,愛知県31,02,23,200,31,2012,2012-09-01,2012,10,16,2,16.5,34.67,136.9847222,1,-1,23.2,17.5,Ise,2012,False,Other,7.2,32.42,8.4,0.0,0.2,0.03,1.6,0.01,0.003,0.01,0.007,6.3,1.0,0.0
0000047090,00002331,愛知県31,02,23,200,31,2012,2012-12-01,2013,1,16,2,19.0,34.67,136.9847222,1,-1,9.8,20.0,Ise,2012,False,Winter,9.2,32.93,8.1,0.0,0.2,0.027,1.0,0.01,0.004,0.06,0.01,3.1,1.4,0.0
0000047914,00002331,愛知県31,02,23,201,31,2013,2013-03-01,2013,5,15,2,17.0,34.67,136.9847222,1,-1,17.0,18.0,Ise,2013,False,Other,7.3,33.06,8.2,0.0,0.15,0.019,1.4,0.03,0.002,0.01,0.007,1.6,0.8,0.0
0000047954,00002331,愛知県31,02,23,201,31,2013,2013-06-01,2013,7,17,2,16.0,34.67,136.9847222,1,-1,21.6,17.0,Ise,2013,False,Summer,5.9,33.26,8.3,0.0,0.14,0.025,1.4,0.03,0.005,0.01,0.012,1.7,0.9,0.0
0000047994,00002331,愛知県31,02,23,201,31,2013,2013-09-01,2013,10,21,2,17.0,34.67,136.9847222,1,-1,21.9,18.0,Ise,2013,False,Other,6.8,31.67,8.1,0.0,0.16,0.027,2.0,0.03,0.023,0.04,0.018,1.8,0.5,0.0
0000048034,00002331,愛知県31,02,23,201,31,2013,2013-12-01,2014,1,15,2,17.0,34.67,136.9847222,1,-1,9.9,18.0,Ise,2013,False,Winter,9.2,33.01,8.1,0.0,0.17,0.02,1.4,0.01,0.005,0.07,0.01,1.6,0.6,0.0
0000049350,00002331,愛知県31,02,23,201,31,2014,2014-03-01,2014,5,14,2,16.0,34.67,136.9847222,1,-1,17.6,17.0,Ise,2014,False,Other,7.4,31.79,8.2,0.0,0.24,0.025,0.9,0.04,0.006,0.03,0.014,1.7,0.1,0.0
0000049390,00002331,愛知県31,02,23,201,31,2014,2014-06-01,2014,7,16,2,17.0,34.67,136.9847222,1,-1,21.1,18.0,Ise,2014,False,Summer,6.3,33.15,8.1,0.0,0.23,0.033,1.8,0.03,0.009,0.05,0.018,0.9,0.1,0.0
0000049430,00002331,愛知県31,02,23,201,31,2014,2014-09-01,2014,10,16,2,18.0,34.67,136.9847222,1,-1,21.8,19.0,Ise,2014,False,Other,6.5,32.03,8.2,0.0,0.26,0.029,1.4,0.02,0.021,0.05,0.02,0.9,0.3,0.0
0000049470,00002331,愛知県31,02,23,201,31,2014,2014-12-01,2015,1,13,2,17.0,34.67,136.9847222,1,-1,10.2,18.0,Ise,2014,False,Winter,8.9,33.12,8.3,0.0,0.29,0.027,1.5,0.01,0.011,0.11,0.015,1.1,0.6,0.0
0000051089,00002331,愛知県31,02,23,201,31,2015,2015-03-01,2015,5,25,2,15.0,34.67,136.9847222,1,-1,17.5,16.0,Ise,2015,False,Other,6.6,32.8,8.0,0.0,0.45,0.024,1.1,0.06,0.008,0.07,0.017,1.9,1.6,0.0
0000051129,00002331,愛知県31,02,23,201,31,2015,2015-06-01,2015,8,6,2,15.0,34.67,136.9847222,1,-1,24.1,16.0,Ise,2015,False,Summer,6.9,33.1,8.1,0.0,0.16,0.016,1.4,0.01,0.005,0.01,0.008,2.9,0.4,0.0
0000051169,00002331,愛知県31,02,23,201,31,2015,2015-09-01,2015,10,14,2,15.0,34.67,136.9847222,1,-1,21.8,16.0,Ise,2015,False,Other,6.9,32.1,8.2,0.0,0.23,0.023,1.4,0.01,0.006,0.02,0.012,2.4,0.7,0.0
0000051209,00002331,愛知県31,02,23,201,31,2015,2015-12-01,2016,1,13,2,18.0,34.67,136.9847222,1,-1,12.3,19.0,Ise,2015,False,Winter,9.4,32.6,8.3,0.0,0.19,0.015,1.8,0.01,0.002,0.01,0.003,4.7,0.2,0.0
0000053221,00002331,愛知県31,02,23,201,31,2016,2016-03-01,2016,5,18,2,17.0,34.67,136.9847222,1,-1,18.2,18.0,Ise,2016,False,Other,7.4,33.7,8.1,0.0,0.18,0.014,1.1,0.02,0.011,0.03,0.008,1.1,1.1,0.0
0000053261,00002331,愛知県31,02,23,201,31,2016,2016-06-01,2016,7,13,2,17.0,34.67,136.9847222,1,-1,20.8,18.0,Ise,2016,False,Summer,5.8,33.2,8.1,0.0,0.41,0.027,1.1,0.03,0.007,0.04,0.015,1.1,0.8,0.0
0000053301,00002331,愛知県31,02,23,201,31,2016,2016-09-01,2016,10,12,2,17.0,34.67,136.9847222,1,-1,23.4,18.0,Ise,2016,False,Other,6.8,31.4,8.3,0.0,0.27,0.03,2.0,0.01,0.012,0.03,0.015,10.5,3.1,0.0
0000053341,00002331,愛知県31,02,23,201,31,2016,2016-12-01,2017,1,24,2,18.0,34.67,136.9847222,1,-1,11.0,19.0,Ise,2016,False,Winter,8.5,33.261,8.3,0.0,0.39,0.027,1.3,0.02,0.008,0.08,0.016,1.4,0.9,0.0
0000055017,00002331,愛知県31,02,23,201,31,2017,2017-03-01,2017,5,17,2,18.0,34.67,136.9847222,1,-1,16.5,19.0,Ise,2017,False,Other,6.8,33.1,8.1,0.0,0.35,0.015,1.0,0.04,0.007,0.02,0.011,2.8,1.3,0.0
0000055057,00002331,愛知県31,02,23,201,31,2017,2017-06-01,2017,7,12,2,17.0,34.67,136.9847222,1,-1,22.4,18.0,Ise,2017,False,Summer,6.4,33.33,8.0,0.0,0.36,0.017,1.3,0.01,0.01,0.04,0.006,2.1,0.8,0.0
0000055097,00002331,愛知県31,02,23,201,31,2017,2017-09-01,2017,11,1,2,17.0,34.67,136.9847222,1,-1,21.3,18.0,Ise,2017,False,Other,7.1,31.55,8.1,0.0,0.24,0.023,1.5,0.01,0.025,0.08,0.018,1.0,0.3,0.0
0000055137,00002331,愛知県31,02,23,201,31,2017,2017-12-01,2018,1,16,2,18.0,34.67,136.9847222,1,-1,10.1,19.0,Ise,2017,False,Winter,9.0,33.2,8.2,0.0,0.18,0.018,1.9,0.01,0.008,0.04,0.007,4.9,1.0,0.0
0000057017,00002331,愛知県31,02,23,201,31,2018,2018-03-01,2018,5,17,2,17.0,34.67,136.9847222,1,-1,18.2,18.0,Ise,2018,False,Other,6.9,32.64,8.1,0.0,0.25,0.021,2.0,0.02,0.006,0.03,0.008,3.2,2.4,0.0
0000057057,00002331,愛知県31,02,23,201,31,2018,2018-06-01,2018,7,11,2,16.0,34.67,136.9847222,1,-1,22.5,17.0,Ise,2018,False,Summer,5.9,32.74,8.1,0.0,0.24,0.03,1.7,0.04,0.011,0.02,0.015,1.9,1.3,0.0
0000057097,00002331,愛知県31,02,23,201,31,2018,2018-09-01,2018,11,13,2,17.0,34.67,136.9847222,1,-1,20.1,18.0,Ise,2018,False,Other,7.3,32.67,8.3,0.0,0.24,0.022,2.2,0.04,0.007,0.03,0.014,0.9,0.5,0.0
0000057137,00002331,愛知県31,02,23,201,31,2018,2018-12-01,2019,1,16,2,18.0,34.67,136.9847222,1,-1,11.3,19.0,Ise,2018,False,Winter,9.2,33.12,8.0,0.0,0.32,0.019,1.6,0.04,0.019,0.05,0.013,3.6,0.6,0.0
0000058749,00002331,愛知県31,02,23,201,31,2019,2019-03-01,2019,5,15,2,16.5,34.67,136.9847222,1,-1,17.8,17.5,Ise,2019,False,Other,7.3,33.07,8.2,0.0,0.24,0.021,2.2,0.05,0.002,0.01,0.006,0.9,0.7,0.0
0000058789,00002331,愛知県31,02,23,201,31,2019,2019-06-01,2019,7,10,2,17.4,34.67,136.9847222,1,-1,22.6,18.4,Ise,2019,False,Summer,5.3,32.66,8.1,0.0,0.46,0.027,2.6,0.02,0.015,0.05,0.018,1.1,1.2,0.0
0000058829,00002331,愛知県31,02,23,201,31,2019,2019-09-01,2019,10,9,2,16.5,34.67,136.9847222,1,-1,25.1,17.5,Ise,2019,False,Other,6.7,33.61,8.2,0.0,0.21,0.014,1.5,0.01,0.002,0.01,0.005,0.5,0.3,0.0
0000058869,00002331,愛知県31,02,23,201,31,2019,2019-12-01,2019,12,25,2,18.3,34.67,136.9847222,1,-1,14.2,19.3,Ise,2019,False,Other,8.5,32.69,8.5,0.0,0.3,0.017,1.7,0.02,0.01,0.01,0.009,3.8,1.1,0.0
0000063227,00002331,愛知県31,02,23,201,31,2020,2020-03-01,2020,5,14,2,17.6,34.67,136.9847222,1,-1,17.3,18.6,Ise,2020,False,Other,7.2,33.5,8.1,0.0,0.49,0.02,1.7,0.03,0.004,0.05,0.013,0.9,0.7,0.0
0000063267,00002331,愛知県31,02,23,201,31,2020,2020-06-01,2020,7,21,2,16.0,34.67,136.9847222,1,-1,22.9,17.0,Ise,2020,False,Summer,5.4,32.99,8.1,0.0,0.35,0.031,2.0,0.01,0.015,0.09,0.02,1.0,1.1,0.0
0000063307,00002331,愛知県31,02,23,201,31,2020,2020-09-01,2020,10,14,2,16.5,34.67,136.9847222,1,-1,23.6,17.5,Ise,2020,False,Other,6.4,32.6,8.1,0.0,0.35,0.026,1.3,0.01,0.024,0.03,0.017,0.7,0.7,0.0
0000063347,00002331,愛知県31,02,23,201,31,2020,2020-12-01,2021,1,13,2,18.7,34.67,136.9847222,1,-1,8.9,19.7,Ise,2020,False,Winter,9.2,33.18,8.2,0.0,0.28,0.028,1.2,0.01,0.008,0.04,0.009,2.8,0.7,0.0
0000064721,00002331,愛知県31,02,23,201,31,2021,2021-03-01,2021,5,19,2,18.3,34.67,136.9847222,1,-1,18.3,19.3,Ise,2021,False,Other,6.3,33.09,8.1,0.0,0.48,0.016,0.8,0.03,0.014,0.05,0.011,0.6,0.7,0.0
0000064761,00002331,愛知県31,02,23,201,31,2021,2021-06-01,2021,7,14,2,18.5,34.67,136.9847222,1,-1,22.6,19.5,Ise,2021,False,Summer,5.9,32.59,8.1,0.0,0.18,0.019,1.6,0.01,0.008,0.03,0.008,1.9,1.0,0.0
0000064801,00002331,愛知県31,02,23,201,31,2021,2021-09-01,2021,10,26,2,17.2,34.67,136.9847222,1,-1,21.6,18.2,Ise,2021,False,Other,6.8,32.18,8.4,0.0,0.18,0.022,1.9,0.01,0.007,0.01,0.012,1.8,1.4,0.0
0000064841,00002331,愛知県31,02,23,201,31,2021,2021-12-01,2022,1,17,2,16.4,34.67,136.9847222,1,-1,10.4,17.4,Ise,2021,False,Winter,9.2,32.71,8.3,0.0,0.28,0.017,2.0,0.01,0.004,0.01,0.003,9.2,1.4,0.0
0000066221,00002331,愛知県31,02,23,201,31,2022,2022-03-01,2022,5,17,2,17.5,34.67,136.9847222,1,-1,17.9,18.5,Ise,2022,False,Other,7.0,31.98,8.3,0.0,0.22,0.022,2.2,0.02,0.004,0.01,0.006,2.3,2.1,0.0
0000066261,00002331,愛知県31,02,23,201,31,2022,2022-06-01,2022,7,14,2,17.5,34.67,136.9847222,1,-1,21.1,18.5,Ise,2022,False,Summer,5.6,33.03,8.2,0.0,0.24,0.021,1.7,0.01,0.011,0.02,0.009,1.1,1.1,0.0
0000066301,00002331,愛知県31,02,23,201,31,2022,2022-09-01,2022,10,25,2,18.1,34.67,136.9847222,1,-1,21.3,19.1,Ise,2022,False,Other,6.9,32.03,8.1,0.0,0.23,0.021,2.3,0.01,0.002,0.01,0.007,2.6,1.3,0.0
